,CEOsalary,admin_exp,gov_grant,liab_to_assets,mkting_exp,name,perc_admin_exp,perc_fundraising_exp,perc_program_exp,prog_rev,program_exp_growth,revenue,service_rev,state,tpscore,url,wking_cap_ratio,yr_founded
184,"$69,579","$74,738",$0,  8.5%,"$145,811",Can Do Canines,  5.8%,  9.2%, 84.8%,"$1,214,401",  9.5%,"$1,214,401",$0,MN,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13256,3.19,1988
185,"$84,434","$102,917",$0, 51.1%,"$34,306",Canine Assistants,  5.0%,  1.6%, 93.2%,"$2,207,139",  -7.5%,"$2,207,139",$0,GA,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5542,0.20,1992
186,"$172,611","$1,312,196",$0,  4.9%,"$5,084,097",Canine Companions for Independence,  6.3%, 21.7%, 71.9%,"$22,936,122",  6.2%,"$21,704,066","$1,232,056",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3418,2.61,1979
187,"$98,329","$156,322",$0,  1.3%,"$315,844","Capital Area Humane Society, MI",  7.4%, 15.2%, 77.2%,"$3,095,001",  5.4%,"$2,108,800","$986,201",MI,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6977,2.16,1946
188,"$100,000","$371,635",$0,  1.1%,"$304,369","Capital Area Humane Society, OH", 12.2%, 11.3%, 76.3%,"$2,776,864", 10.6%,"$2,447,685","$329,179",OH,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6118,2.01,1957
189,"$110,039","$259,640",$0,  2.1%,"$243,846",Capital Humane Society, 12.1%, 11.9%, 75.9%,"$2,595,550", 16.3%,"$1,708,533","$887,017",NE,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7053,4.49,1941
190,"$80,538","$91,103",$0, 21.4%,"$132,771",Cat Adoption Team,  6.7%,  9.6%, 83.6%,"$1,542,592",  1.4%,"$1,154,486","$388,106",OR,78,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12911,2.02,2004
191,"$27,828","$157,419",$0,  2.0%,"$115,475",Cat Care Society, 18.2%, 14.5%, 67.1%,"$1,245,171", 11.2%,"$962,498","$282,673",CO,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7355,2.19,1982
192,"$64,250","$210,248",$0,  0.8%,"$99,890",Catskill Animal Sanctuary, 16.1%,  6.1%, 77.7%,"$3,454,082",  5.6%,"$3,128,110","$325,972",NY,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12103,4.98,2001
193,"$127,656","$232,138",$0,  3.2%,"$422,236",Berkeley-East Bay Humane Society, 12.5%, 25.7%, 61.6%,"$1,785,812",  5.2%,"$1,532,647","$253,165",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9119,1.69,1953
194,"$62,683","$101,813",$0, 25.2%,"$88,936",Berkshire Humane Society,  7.4%,  5.6%, 86.9%,"$1,116,872",  5.9%,"$789,302","$327,570",MA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5977,2.41,1992
195,"$202,428","$6,506,871",$0, 15.8%,"$13,612,301",Best Friends Animal Society,  8.1%, 17.6%, 74.2%,"$88,809,610", 13.4%,"$85,484,292","$3,325,318",UT,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3356,0.95,1971
196,"$292,404","$1,063,470",$0,  3.0%,"$1,538,448",Bideawee, 10.6%, 15.5%, 73.8%,"$8,116,227",  3.9%,"$5,269,024","$2,847,203",NY,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3365,1.39,1925
197,"$69,250","$47,082",$0,  1.2%,"$135,002",Blue Mountain Humane Society,  5.1%,  8.1%, 86.7%,"$1,102,628",  9.5%,"$856,073","$246,555",WA,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17188,4.15,1970
198,"$105,458","$177,291","$119,000", 11.9%,"$698,310",Born Free USA united with Animal Protection Institute,  6.9%, 23.3%, 69.6%,"$2,515,352", 15.7%,"$2,515,352",$0,DC,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5840,1.29,1968
199,"$175,712","$375,120",$0, 24.4%,"$184,715",Brandywine Valley SPCA,  9.9%,  5.3%, 84.7%,"$3,372,382", 27.1%,"$680,109","$2,692,273",PA,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6816,2.31,1946
200,"$28,125","$196,922","$7,300",< 0.1%,"$32,294",Bucks County SPCA, 12.5%,  3.1%, 84.2%,"$1,272,199",  3.2%,"$1,054,919","$217,280",PA,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5083,5.72,1941
201,"$105,312","$51,578",$0, 24.0%,"$90,070",Animals' Angels,  6.0%, 10.0%, 83.8%,"$980,043",  5.5%,"$980,043",$0,MD,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16110,0.48,2007
202,"$193,752","$539,033",$0,  2.4%,"$1,176,516",The Anti-Cruelty Society,  5.9%, 13.7%, 80.2%,"$7,179,521",  5.2%,"$6,281,094","$898,427",IL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3301,6.00,1937
203,"$101,917","$375,979",$0,  3.6%,"$256,741",Arizona Animal Welfare League & SPCA,  6.4%,  7.3%, 86.1%,"$3,686,615",  3.0%,"$2,363,905","$1,322,710",AZ,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5125,1.54,1971
204,"$317,857","$595,444",$0,  4.7%,"$2,255,697",Arizona Humane Society,  3.7%, 12.9%, 83.2%,"$15,945,129",  8.5%,"$12,879,259","$3,065,870",AZ,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3306,2.18,2001
205,"$64,500","$70,444","$15,000",  8.6%,"$235,812",Faithful Friends Animal Society,  3.4%, 13.2%, 83.3%,"$1,730,415", 16.1%,"$1,337,523","$392,892",DE,77,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16466,0.57,2001
206,"$81,136","$129,208",$0,  0.9%,"$130,028",Hooved Animal Humane Society, 17.4%, 17.1%, 65.4%,"$690,996",  1.8%,"$671,506","$19,490",IL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5126,4.02,1972
207,"$321,108","$1,192,698",$0, 13.8%,"$1,020,800",Atlanta Humane Society, 12.2%, 10.9%, 76.8%,"$7,361,051",  7.5%,"$4,954,632","$2,406,419",GA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3328,3.30,1942
208,"$122,037","$229,180",$0,  3.9%,"$325,090",Austin Humane Society,  7.8%, 10.6%, 81.5%,"$2,571,015",  1.0%,"$2,076,210","$494,805",TX,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5689,1.06,1956
209,"$70,000","$426,684",$0,  7.8%,"$447,576",Austin Pets Alive, 10.0%,  8.9%, 81.0%,"$4,567,812", 19.9%,"$3,763,530","$804,282",TX,78,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17263,0.73,2000
210,"$14,400","$330,783",$0,  3.3%,"$64,786",Baltimore Humane Society, 22.6%,  4.0%, 73.2%,"$2,052,488",  -8.4%,"$1,707,130","$345,358",MD,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8275,1.32,1942
211,"$74,610","$84,255",$0,  0.5%,"$74,563",Bangor Humane Society,  5.5%,  3.5%, 90.9%,"$864,382",  -1.8%,"$503,829","$360,553",ME,73,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10965,2.52,1977
212,"$57,462","$424,535",$0,  1.9%,"$171,871",Bay Area Humane Society, 20.3%, 13.1%, 66.5%,"$1,104,748",  -1.8%,"$656,937","$447,811",WI,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6171,1.38,1972
213,"$134,512","$144,076",$0,  1.6%,"$256,391",Animal Shelter of the Wood River Valley,  8.5%, 11.5%, 79.8%,"$5,156,578",  7.7%,"$5,024,365","$132,213",ID,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11768,5.27,1979
214,"$103,578","$102,598",$0,  2.8%,"$252,088",Animal Welfare Association,  4.0%,  7.3%, 88.5%,"$2,552,327",  7.5%,"$960,180","$1,592,147",NJ,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6787,1.44,1957
215,"$83,328","$193,465",$0,  0.1%,"$58,631",Animal Welfare Institute,  4.2%,  1.0%, 94.6%,"$3,278,306", -15.0%,"$3,278,306",$0,DC,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6035,2.14,1953
216,"$83,782","$611,182",$0,  5.2%,"$73,237",Animal Welfare League,  8.7%,  1.3%, 89.8%,"$5,761,155",  6.0%,"$798,338","$4,962,817",IL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8027,0.67,1952
217,"$152,811","$135,576",$0, 13.5%,"$295,960",Animal Welfare League of Alexandria,  8.0%, 12.4%, 79.5%,"$2,549,050",  1.2%,"$1,386,056","$1,162,994",VA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12728,1.36,1966
218,"$162,405","$68,988",$0,  2.4%,"$377,740",Animal Welfare League of Arlington,  2.3%, 11.9%, 85.6%,"$3,382,330",  3.9%,"$1,647,270","$1,735,060",VA,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7152,2.41,1947
219,"$114,899","$257,716",$0,  3.3%,"$243,666",Animal Welfare Society, 10.8%,  8.9%, 80.2%,"$2,254,154", 16.1%,"$1,482,510","$771,644",ME,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6840,2.29,1969
220,"$72,000","$151,427",$0,  0.9%,"$130,783",Animal Allies Humane Society, 10.3%, 11.6%, 78.0%,"$1,165,487",  -2.8%,"$848,745","$316,742",MN,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13857,2.54,1968
221,"$90,175","$611,850",$0,  3.6%,"$160,884",Animal Defense League of Texas, 13.3%,  4.9%, 81.7%,"$5,676,779", 18.6%,"$5,115,734","$561,045",TX,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5688,2.15,1947
222,"$58,507","$138,916",$0,  3.0%,"$391,323",Asheville Humane Society,  5.4%, 14.5%, 80.0%,"$2,787,224",  9.4%,"$1,798,353","$988,871",NC,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12352,1.54,1985
223,"$98,813","$175,424",$0, 10.8%,"$260,523",Canine Partners For Life,  8.9%, 18.8%, 72.1%,"$1,621,775",  5.1%,"$1,609,827","$11,948",PA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6828,2.79,1990
224,"$11,946","$359,453",$0,  2.4%,"$377,185",Dakin Humane Society,  9.1%, 11.5%, 79.2%,"$3,094,889",  2.5%,"$1,372,389","$1,722,500",MA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14088,1.41,2007
225,"$571,387","$10,168,101",$0, 20.9%,"$995,461",The Animal Medical Center, 24.7%,  2.4%, 72.8%,"$41,624,779",  6.0%,"$7,199,515","$34,425,264",NY,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3299,1.45,1944
226,"$11,293","$210,623",$0,  0.8%,"$226,632",Animal Protective Association of Missouri,  9.9%, 12.5%, 77.4%,"$1,597,764",  6.6%,"$891,375","$706,389",MO,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6189,3.69,1945
227,"$106,003","$234,157",$0,  4.6%,"$332,262",Animal Refuge League,  9.8%, 16.5%, 73.5%,"$2,757,331",  4.2%,"$2,005,637","$751,694",ME,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13258,6.03,1942
228,"$78,500","$433,908",$0,  1.4%,"$439,059",Animal Rescue Fund of the Hamptons, 12.3%, 12.7%, 74.8%,"$4,137,016",  7.8%,"$3,860,108","$276,908",NY,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6869,4.33,1975
229,"$56,755","$208,773",$0,  2.7%,"$37,623","Animal Rescue League of Berks County, Inc.", 12.7%,  4.5%, 82.6%,"$1,660,402",  7.6%,"$1,143,251","$517,151",PA,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14195,1.30,1956
230,"$189,207","$2,195,669",$0,  4.3%,"$471,865",Animal Rescue League of Boston, 22.2%,  5.7%, 71.9%,"$7,149,202",  -2.7%,"$4,817,456","$2,331,746",MA,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8537,7.57,1943
231,"$162,152","$469,858",$0,  4.9%,"$629,460",Animal Rescue League of Iowa,  7.9%,  9.8%, 82.1%,"$4,074,087",  4.7%,"$2,639,287","$1,434,800",IA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6184,2.03,1949
232,"$178,708","$542,209",$0, 14.2%,"$683,341",Alley Cat Allies,  6.8%,  6.8%, 86.3%,"$9,265,575", 10.2%,"$9,265,575",$0,MD,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5453,0.73,1992
233,"$76,367","$110,577",$0, 40.6%,"$425,479",Alley Cat Rescue,  4.5%, 27.3%, 68.1%,"$1,514,059", 17.9%,"$1,512,169","$1,890",MD,70,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10853,0.37,2001
234,"$40,000","$262,837",$0,  6.7%,"$221,875",American Anti-Vivisection Society, 12.2%, 11.2%, 76.5%,"$1,675,775",  4.3%,"$1,590,476","$85,299",PA,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6598,8.99,1999
235,"$392,894","$913,906",$0, 19.8%,"$1,582,996",American Humane,  6.4%, 14.2%, 79.2%,"$14,823,996",  4.4%,"$11,781,059","$3,042,937",DC,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3262,0.52,1942
236,"$165,848","$537,515",$0, 22.9%,"$205,417",American Kennel Club Canine Health Foundation, 15.9%, 10.0%, 73.9%,"$4,787,326",  -3.1%,"$4,760,149","$27,177",NC,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5005,3.01,1995
237,"$521,245","$10,304,327",$0, 13.3%,"$39,173,981",American Society for the Prevention of Cruelty to Animals,  5.6%, 20.2%, 74.1%,"$198,619,753",  2.7%,"$182,705,546","$15,914,207",NY,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3286,1.05,1921
238,"$40,728","$246,801",$0,  4.4%,"$110,294",American Veterinary Medical Foundation,  4.4%,  3.6%, 91.8%,"$2,170,421", 18.2%,"$2,170,421",$0,IL,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5281,0.42,1964
239,"$81,500","$175,147",$0,< 0.1%,"$170,381",Anderson Animal Shelter, 12.4%, 12.8%, 74.7%,"$1,561,960", 14.7%,"$944,535","$617,425",IL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9225,1.95,1968
240,"$60,000","$27,981",$0,< 0.1%,"$27,975",Actors and Others for Animals,  3.6%,  3.5%, 92.7%,"$1,450,013",  0.6%,"$1,450,013",$0,CA,81,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6457,4.53,1972
241,"$151,667","$214,254",$0,  4.2%,"$162,859",Adopt A Pet.com,  7.0%,  8.9%, 84.0%,"$3,306,236",  2.1%,"$3,306,236",$0,CA,78,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11882,0.89,2000
242,"$66,737","$90,549",$0,  1.6%,"$73,538",Allen County Society for the Prevention of Cruelty to Animals,  9.6%,  9.1%, 81.1%,"$1,024,401", 16.7%,"$819,972","$204,429",IN,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17033,2.65,1956
243,"$180,784","$1,273,535",$0,  2.5%,"$1,301,943",SPCA of Texas,  9.1%,  9.8%, 80.9%,"$12,390,979",  3.4%,"$9,462,956","$2,928,023",TX,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4485,2.57,1940
244,"$96,416","$310,587",$0, 18.6%,"$285,800",SPCA of Wake County, 12.5%,  7.9%, 79.5%,"$3,162,359",  2.9%,"$2,864,442","$297,917",NC,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10081,1.33,1968
245,"$66,400","$126,901",$0,  2.3%,"$60,505",Tri-County Humane Society, 13.4%,  8.0%, 78.4%,"$796,652",  0.3%,"$380,294","$416,358",MN,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6103,2.50,1975
246,"$92,146","$481,640",$0,682.6%,"$4,218,561",SPCA International,  3.8%, 36.8%, 59.3%,"$13,501,896",  0.2%,"$13,501,896",$0,NY,58,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13139,< 0.01,2006
247,"$100,000","$177,240",$0,  1.2%,"$94,807",SPCA of Anne Arundel County, 13.9%,  4.6%, 81.4%,"$1,765,467",  4.0%,"$1,445,591","$319,876",MD,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7077,2.68,1951
248,"$120,920","$125,050",$0,  0.8%,"$177,939",SPCA of Westchester,  8.2%,  7.9%, 83.7%,"$2,263,800", 11.4%,"$1,372,917","$890,883",NY,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8944,2.16,1959
249,"$119,738","$240,974",$0, 20.5%,"$650,833",SPCA Tampa Bay,  8.4%, 17.3%, 74.2%,"$2,665,066",  9.2%,"$2,264,484","$400,582",FL,77,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10409,1.44,1974
250,"$228,400","$1,014,941",$0, 22.6%,"$819,344",spcaLA, 13.4%, 10.4%, 76.0%,"$6,510,050",  7.4%,"$5,070,394","$1,439,656",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4020,3.55,1934
251,"$96,731","$161,432",$0, 16.1%,"$154,140",Suncoast Humane Society, 10.9%,  7.4%, 81.5%,"$1,288,766", 13.2%,"$869,203","$419,563",FL,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7706,0.89,1972
252,"$107,316","$135,570",$0, 16.2%,"$392,456",Toledo Area Humane Society,  7.5%, 17.2%, 75.2%,"$2,351,688",  -0.4%,"$1,996,277","$355,411",OH,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6926,3.69,1943
253,"$261,258","$491,637",$0,  1.5%,"$420,120",Tony La Russa's Animal Rescue Foundation,  7.1%,  6.4%, 86.3%,"$10,540,414",  7.9%,"$9,738,139","$802,275",CA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5636,5.72,1996
254,"$98,738","$129,743",$0,  1.1%,"$364,246",Tree House Humane Society,  4.3%, 13.1%, 82.4%,"$2,554,058",  7.8%,"$2,464,462","$89,596",IL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6102,2.49,1975
255,"$115,609","$125,588",$0,  3.9%,"$41,729",Tri County Humane Society,  9.7%,  2.6%, 87.6%,"$2,031,896",  -3.6%,"$1,629,020","$402,876",FL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10238,2.23,1997
256,"$126,947","$185,510",$0,  4.1%,"$634,287",SPCA Cincinnati,  4.8%, 14.7%, 80.3%,"$5,032,258", 11.6%,"$3,279,405","$1,752,853",OH,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6113,2.44,1965
257,"$137,700","$252,312",$0,132.8%,"$241,332",Wildlife Waystation,  8.4%,  9.9%, 81.5%,"$2,052,070",  4.4%,"$2,052,070",$0,CA,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5863,< 0.01,1985
258,"$72,625","$159,387",$0,  2.5%,"$398,475",Willamette Humane Society,  6.6%, 15.5%, 77.8%,"$3,009,275",  8.8%,"$2,530,287","$478,988",OR,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5779,1.90,1966
259,"$197,670","$556,804",$0, 19.7%,"$957,758",Wisconsin Humane Society,  6.8%, 10.3%, 82.7%,"$8,006,593",  6.3%,"$5,056,006","$2,950,587",WI,97,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4744,2.21,1941
260,"$104,198","$174,425",$0,  1.6%,"$91,250",Woods Humane Society,  8.6%,  4.4%, 86.9%,"$1,536,614", 14.1%,"$1,119,199","$417,415",CA,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12832,5.73,1964
261,"$173,408","$238,190",$0, 27.0%,"$1,271,377",World Animal Protection,  6.0%, 25.1%, 68.7%,"$4,960,934",  -8.1%,"$4,960,934",$0,NY,82,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4767,0.40,1981
262,"$111,554","$200,263",$0, 11.2%,"$305,681",Yavapai Humane Society,  8.3%, 12.8%, 78.8%,"$2,407,337", 11.6%,"$1,440,734","$966,603",AZ,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13789,1.60,1972
263,"$85,076","$459,414","$349,877", 15.6%,"$95,324",York County SPCA, 17.6%,  4.2%, 78.1%,"$2,062,430", 23.0%,"$1,467,017","$595,413",PA,75,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14174,2.20,1972
264,"$53,300","$95,555",$0, 25.4%,"$98,123",Vanderburgh Humane Society,  6.1%,  7.8%, 85.9%,"$1,300,148",  5.3%,"$703,035","$597,113",IN,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6138,1.45,1964
265,"$27,936","$117,063",$0,  6.9%,"$153,763",Vegan Outreach,  8.5%,  9.9%, 81.4%,"$1,894,472", 20.3%,"$1,894,472",$0,CA,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11765,1.11,2007
266,"$113,473","$142,376","$30,000",  4.6%,"$244,912",Virginia Beach SPCA,  3.7%,  5.7%, 90.5%,"$3,003,874", 11.6%,"$1,291,894","$1,711,980",VA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7179,2.00,1966
267,"$161,132","$538,424",$0,  3.3%,"$1,179,166",Wayside Waifs,  8.3%, 21.5%, 70.0%,"$5,441,516",  6.5%,"$4,604,519","$836,997",MO,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5358,3.04,1953
268,"$63,750","$141,741",$0,  6.5%,"$169,580",Whidbey Animals Improvement Foundation,  7.7%, 14.6%, 77.6%,"$1,337,627",  7.3%,"$1,142,680","$194,947",WA,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17115,3.07,1995
269,"$71,960","$207,905",$0, 10.9%,"$141,593",Wildlife Rescue & Rehabilitation,  9.1%,  8.5%, 82.3%,"$1,898,276",  0.1%,"$1,898,276",$0,TX,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6350,1.96,1979
