,CEOsalary,admin_exp,gov_grant,liab_to_assets,mkting_exp,name,perc_admin_exp,perc_fundraising_exp,perc_program_exp,prog_rev,program_exp_growth,revenue,service_rev,state,tpscore,url,wking_cap_ratio,yr_founded
106,"$142,986","$289,474",$0,  3.5%,"$593,248",Humane Society of Huron Valley,  6.6%,  8.1%, 85.1%,"$5,885,432",  1.8%,"$3,056,540","$2,828,892",MI,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6156,1.90,1951
107,"$124,974","$260,648",$0,  3.2%,"$734,903",Humane Society of Indianapolis,  5.2%, 14.1%, 80.6%,"$5,106,705", 13.9%,"$3,761,854","$1,344,851",IN,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6136,1.26,1941
108,"$79,230","$109,436",$0,  4.2%,"$130,371",Humane Society of Manatee County,  7.8%, 10.2%, 81.9%,"$1,504,096", 22.0%,"$927,725","$576,371",FL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17222,3.15,1979
109,"$70,338","$133,210",$0, 16.7%,"$204,536",Humane Society of Marion County, 13.5%, 16.8%, 69.6%,"$566,705",  6.6%,"$404,524","$162,181",FL,85,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7241,1.97,1971
110,"$74,085","$300,664",$0, 24.8%,"$128,396",Humane Society of Memphis & Shelby County, 14.3%,  6.1%, 79.4%,"$794,028",  -1.5%,"$674,769","$119,259",TN,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6853,4.15,1976
111,"$320,163","$1,681,874",$0,  3.5%,"$1,587,633",Humane Society of Missouri,  9.0%,  8.8%, 82.1%,"$17,559,702",  0.4%,"$9,349,467","$8,210,235",MO,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3846,2.79,1941
112,"$124,005","$331,209",$0,  1.2%,"$296,222",Humane Society of New York,  4.9%,  5.1%, 89.8%,"$6,191,528",  1.8%,"$2,532,576","$3,658,952",NY,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5991,5.59,1950
113,"$85,223","$483,911",$0,  1.2%,"$146,549",Humane Society of North Texas, 11.0%,  3.6%, 85.3%,"$3,464,484", 17.2%,"$2,220,990","$1,243,494",TX,92,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6356,5.24,1964
114,"$125,256","$311,217","$136,643", 38.8%,"$857,934",Humane Society International,  3.3%,  6.0%, 90.6%,"$12,520,408",  9.4%,"$12,487,743","$32,665",DC,96,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5456,0.07,1993
115,"$164,923","$186,614",$0,  1.9%,"$280,478",The Humane Society Naples,  5.6%,  7.7%, 86.5%,"$4,372,856", 10.1%,"$2,567,803","$1,805,053",FL,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5566,5.32,1962
116,"$152,090","$329,413",$0, 26.5%,"$237,754",Humane Society of Berks County, 10.5%,  6.1%, 83.3%,"$3,155,855", 32.8%,"$1,854,292","$1,301,563",PA,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6817,0.37,1950
117,"$137,859","$265,932","$115,962",  8.7%,"$818,799",Humane Society of Boulder Valley,  4.7%, 13.6%, 81.5%,"$5,634,739",  0.5%,"$2,846,139","$2,788,600",CO,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5724,1.48,1933
118,"$226,800","$1,141,083",$0,  5.0%,"$1,039,106",Humane Society of Broward County, 11.1%, 12.9%, 75.8%,"$5,192,306",  -0.2%,"$3,085,319","$2,106,987",FL,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5594,1.43,1970
119,"$142,525","$288,735",$0,  6.5%,"$536,354",Humane Society of Charlotte,  8.0%, 14.4%, 77.5%,"$3,797,138", 12.5%,"$2,721,940","$1,075,198",NC,93,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8278,1.05,1979
120,"$74,145","$227,801",$0,  2.5%,"$75,716",Humane Society of El Paso, 14.8%,  5.2%, 79.9%,"$2,345,372",  3.3%,"$1,631,475","$713,897",TX,81,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6341,3.10,1949
121,"$74,320","$47,496","$420,144",  1.2%,"$100,255",Humane Society of Elkhart County,  4.9%,  7.4%, 87.5%,"$2,141,601",  2.9%,"$2,043,521","$98,080",IN,89,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17221,5.28,1981
122,"$79,114","$259,240",$0,  1.7%,"$138,007",Humane Society of Greater Dayton, 14.1%,  9.3%, 76.5%,"$1,554,489",  3.0%,"$1,366,201","$188,288",OH,100,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6111,1.33,1942
